true_answer,model_response
C,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: After the delivery of an infant of diabetic mother, blood glucose of the infant was 60 mg/dt. Which other investigation docs the sister expects that the physician would ask her to do?
Options:
A) Serum potassium
B) CBC
C) Serum calcium
D) Serum chloride
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g Ans. is 'a' i.e., Serum Potassium o The baby in this case has hypoglycemia (blood sugar <40mg%). Hypoglycaemia can cause hypokalemia due to increased insulin secretion by beta cells of pancreas which causes K+ shift into cell.o So serum potassium should be checked in all cases of neonatal hypoglcemias.Hypoglycemiao Causes1. Excess Insulin# Most common cause of Neonatal hypoglvcemia - transient neonatal hyperinsulinaemia.# Other causes are- Sepsis- Asphyxia- Congenital rubella syndrome2. Deficiency Glucagono Inborn errors of metabolism like Pyruvate dehydrogenase deficiency3. Drugs causing hypogIycerniao Salbutamol & Terbutalineo Management of hypog!yceinia1. Immediate management:# Give IV dextrose infusion immediately if symptoms persist beyond first few hours after birth.2. Maintenance therapy:# Dose depends on age of child<24 months : 5-8 ml/kg/hr> 6 years : 10ml/kg/hro If there is persistent hypoglvcaemic seizures then give glucagons intraven"
B,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: A patient is giving; history of avulsed tooth 20 minutes back, comes to dentist what should be done?
Options:
A) Scrub the tooth and reimplant
B) Rinse with saline and reimplant
C) Sterilize tooth and reimplant
D) Scrub the tooth do RCT and reimplant
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g B i.e., Rinse in normal saline & replanted
Hence, the correct answer is B (Rinse with saliva and re-implant). (Note - The text says ""rinse with Saline"" but it's actually rinse with saliva).
Explanation: Avulsion

Avulsion means complete displacement of teeth out of their sockets by application of some external force.
The treatment plan depends on time elapsed before seeking dental attention.

If seen within 30 min → Replantation can be considered
If seen after 1 hour → Autotransplantation may be indicated
If found >24 hours later → Extraction is recommended
HENCE REIMPLANTATION IS DONE WITHIN 30 MINUTES OF AVULSION AND IF NOT THEN AUTOTRANSPLANTION CAN BE CONSIDERED.
Hence,
Reimplantation is done if the tooth has been displaced less than 30 minutes prior to presentation at the clinic.
Autografting is an alternative when there is delay between injury and arrival at the office (> 30min)
Extraction is usually required when the periodontal ligament is contaminated beyond salvageable limits.
HENCE THE ANSWER TO THIS QUESTION IS SALINE INSTEAD OF SALIVA AS IT"
A,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: 14 year old child with blindness, sensorineural hearing loss, progressive hematuria, hypeension with similar family history in father
Options:
A) Alpo syndrome
B) Goldenhar syndrome
C) Goodpasture syndrome
D) Nager syndrome
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g. (Ref: Nelson's 20th/ p. 1729-1730; Ghai 8/e p. e7-e10)Alport SyndromeIt is an X-linked hereditary nephritis characterized by glomerular basement membrane abnormalities.It presents clinically with haematuria & proteinuria which progress to renal failure.Hearing impairment occurs due to abnormal collagen type IV in cochlea.Family history of affected males suggests its diagnosis.Clinical features include:-Hypeension-Haematuriaproteinuriarenal insufficiencySensorineuronal deafnessNail dystrophyEctopia lentisGood pasture syndrome - Anti GBM antibody directed against both alveolar capillaries & Glomruli.Golden har syndrome - Ocular malformations like epibulbar dermoids, microphthalmos, coloboma.Nager syndrome - Mandible hypoplasia, absent thumb, syndactyly.
Hence, the correct answer is A (Alpo syndrome). (Ref Nelson's /p. 17 29-173Q; Ghali 8e/p.e7-eIO)Explanation:ALPORT SYNDROME* It is an inherited disorder that causes kidney disease.* The condition also can"
B,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: Most probable chance of developing caries in the following curve is at:
Options:
A) Point A
B) Point B
C) Point C
D) Point D
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g Point B has highest risk of dental caries due to high bacterial load & low pH.
Hence, the correct answer is B (Point B). (-Ref: Textbook of Pedodontics Sridhar Premkumar Ed2s Pg- 71)
Most common site of early childhood caries - Maxillary anterior teeth.
Least affected tooth by EEC - Mandibular first molar.
Tooth with maximum surface involved in ECC - Upper central incisor.
ECC most commonly affects primary maxillary anterior dentition because these teeth erupt when child starts taking solid food and breast feeding.
The pattern of involvement of different surfaces in initial lesions of ECC shows that smooth surface lesion occurs more frequently than pit/fissure lesion.
Involvement of gingival third of crown precedes cervical region.
Lesions occur on proximal surfaces before distal surfaces.

Essentials of preventive and community dentistry 
Soben Peter 
5th edition
Pg no. 134

Early Childhood Caries (ECC)

It was previously known as Baby Bottle Tooth Decay/ Early Childhood Carries (ECCC).
According to AAPD definition, it is ""the presence of one or more decayed (non-cavitated or cavitated lesions), missing (due to"
D,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: Which of the following is a dye used for dentinal caries detection:
Options:
A) Calcein
B) Zygo ZL-22.
C) Fuschin.
D) Acid red system.
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g B i.e., Zygo-Zl-22
Hence, the correct answer is B (Zygo Z L - 2 2.). (Note : The most common dyes used in this method are erythrosine & zygol). Ref: Sturdevant's art and science of operative dentistry by Stuart C. Peralta page 210; Textbook of Operative Dentistry By S.C. Arora page 120.
Carisolv System

The Carisolv system consists of three solutions:

– A gel solution containing an organic solvent that dissolves the bacterial cell wall but does not affect tooth structure,
– An oxidizing agent to remove bacteria from the pulp chamber floor and walls, and
– A reducing agent to neutralize the oxidizer.

These agents work together with a special hand instrument called a “curette” which gently scrapes out infected tissue while leaving healthy tissues intact.
This technique has been shown to be effective in removing necrotic tissue without causing pulpal damage when compared to conventional methods using sodium hypochlorite alone.
It can also detect areas of demineralization within the enamel before they become visible radiographically.
In addition, it may help identify lesions at higher risk for progression"
A,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: A patient shows one or more of the following: advanced bone loss, grade II and III furcation involvements, tooth mobility, inaccessible areas, systemic/environmental factors represents:
Options:
A) Questionable prognosis
B) Poor prognosis
C) Fair prognosis
D) Hopeless prognosis
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g Prognosis is defined as an estimate of future outcome based on present conditions.

The Prognostic Factors

1. Root morphology (e.g., root length, width, curvature)
2. Periodontium status (i.e., attachment level, gingival health, periodontal disease extent)
3. Tooth position in relation to adjacent teeth and occlusion
4. Systemic/Environmental Conditions (e..g, smoking)

Classification of Prognosis:

Poor Prognoses

Advanced bone loss (>50% around most of the roots).
Grade II & III Furcations.
Tooth Mobility > 2 mm.
Systemic / Environmental Factors that cannot be controlled by treatment.
Hopeless Prognose

Any poor prognosed case with additional unfavorable factor such as:

Root Resorption.
Suppurative Periapical Lesion.
Pulp Exposure.
Severe Curvature of Roots.
Unrestorable Restorations.
Questionable Prognosises

Cases showing some favorable signs but also have some adverse features which may lead to failure if left untreated. These cases can be treated successfully if proper therapy is instituted at appropriate time. The presence of these questionable factors necessitates close monitoring of the condition over a long term basis.

Fair Prognososes"
A,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: A 2 years old child suffers flame burns involving face, bilateral upper limbs and front of chest and abdomen. What is the body surface area involved?
Options:
A) 40%
B) 45%
C) 54%
D) 60%
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g C i.e. (54%) % Body Surface Area Involved in Burns - Head & Neck =13% Anterior trunk=18% Posterior Trunk=9% Upper Limbs=20% Lower Limb=33% Perineum=1% Genitals=1%
Hence, the correct answer is C (54%). (Ref: Sabiston Textbook of Surgery, 19th Edition, Page 484; Bailey and Love's Short Practice of Surgery 25th Ed Page 760-761).Explanation:The Lund-Browder chart was developed to help estimate the total body surface affected by burn injury.The head and neck region has been divided into anterior and posterior areas that have different proportions based on age.Anterior trunk and lower extremities increase with increasing age.Posterior trunk decreases with increasing ages.Upper limb remains constant at all ages.Perenium and genitalia remain constant at 1 percent in children and adults
Hence the correct answe is C(54%). I am sure you will be able to solve this type of questions easily now.
The Lund Browder Chart can also be used to calculate the percentage of BSA burned when there are multiple paial thickness injuries present. The rule of nines should never be used if"
D,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: Which of the following is not an adverse effect of Escitalopram?
Options:
A) Nausea
B) Vivid dreams
C) Anorgasmia
D) Sialorrhoea
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g Ref : KD Tripathi Pharmacology 7th edition (page no; 467)
Hence, the correct answer is D (Sialorrhœa). (Ref: Goodman & Gilman's The pharmacological basis of therapeutics 12/e p214-215).
The most common side effects include nausea, dry mouth, dizziness, sleepiness, headache, sweating, changes in sexual desire or ability, weight gain or loss, diarrhea, rash, and yawning.Serotonin syndrome may occur when combined with other drugs that increase serotonin levels.Excessive doses can cause coma and death.
Hence it is important to know which drug has more chances of causing sialorrhea among antidepressants.
Amongst SSRIs, paroxetine causes maximum sialorrhrea followed by fluvoxamine and then citaloprom.
So, escitalopam doesnot have much chance of causing this symptom.
HENCE THE ANSWER IS OPTION D i.e., SIALORRHOEA.
Note: Amongst TCAs clomipramine also causes sialorrrhoea.
Harrison writes - ""Clomipranime produces excessive salivation at high dose"".
KDT writes -""It increases saliva secretion""
But Harrison further adds -"
B,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: In a 30 years old female patient with polyahritis, testing reveals nucleolar pattern of ANA staining. What is the likely course of this patient?
Options:
A) Malar rash, alopecia and renal failure
B) Sclerodactyly, esophageal dysmotility and Raynaud's phenomenon
C) Sjogren's syndrome
D) Painful genital and oral blisters and ulcers
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g Ans. (a) Malaria rash, Alopecia & Renal FailureRef: Harrison's Internal Medicine 18th ed. P 2149* The presence of Nucleolar Pattern of Anti Nuclear Antibody suggests Systemic Lupus Erythematosus.* Most common presentation in females aged 20-40 yrs.* Presence of malar rash + Poly Ahritis + Photosensitivity suggest diagnosis of SLE.* Other features include Oral Ulceration, Hemolytic Anemia, Leucopenia, Proteinuria, Thrombocytopenia etc.* Patients can also present with Neurological manifestations like Seizures, Headache, Transverse Myelitis, Guillain Barre Syndrome, Peripheral Neuropathy etc.* Treatment includes NSAIDs, Corticosteroids, Immunosuppressants like Methotrexate, Azathioprine, Cyclophosphamide etc.
Hence, the correct answer is A (Malar rash,, alopecia, and renal). (Note - Option B refers to CREST Syndrome which has different clinical criteria)
Hence the correct Answer is A ((Malar Rash, Alopeci...). (Option b is related but incorrect because it doesnot have nephritic symptoms).
The most specific test for"
C,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: Which of the following drug can decrease the size of prostate?
Options:
A) Tamsulosin
B) Sildenafil
C) Finasteride
D) Prazosin
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g. (Ref KDT 6/e p310; Katzung 10th/ep68-69)* FINASTERIDE is an inhibitor of enzyme 5a reductase which conves testosterone to dihydrotestosterone.* Dihydrotestosterone causes growth of prostate gland* So finesteride decreases the size by decreasing the level of dihydro testosteron in body.* It also used in male pattern baldness because it increases hair regrowth on scalp and prevents further loss.* SIDE EFFECTS:- Loss of libido, impotence, decreased semen volume, breast tenderness, headache, pain in lower abdomen, nausea, diarrhea, abnormal ejaculation, gynecomastia, depression, anxiety, insomnia, hot flushes, hypercholesterolemia, myalgias, arthralgia, rashes, pruritus, edema, weight gain, fatigue, weakness, hypokalemia, liver damage, allergic reactions, blood sugar increase, thrombocytopenic purpura, leukopenia, alopecia, visual disturbances, tinnitus, hearing impairment, seizures, postural hypotension, angina, MI, arrhythmias, stroke, sudden death, etc.
Hence, the correct answer is C (Fin"
A,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: Which of the following is not an autoimmune disorder?
Options:
A) Ulcerative colitis
B) Grave's disease
C) Rheumatoid ahritis
D) SLE
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g. Autoimmune disorders occur when there is loss of tolerance to self antigens resulting in production of autoantibodies against host tissues leading to tissue damage. The most common target organs include skin (SLE), joints (RA), kidney (GN), hea (cardiomyopathy), lungs (interstitial lung fibrosis). Inflammatory bowel diseases like ulcerative colitits and Crohn's ds are also considered as autoimmune conditions because they have strong genetic predisposition with HLA B27 antigen involvement. Ref : Harrison 17/e p2059-2060
Hence, the correct answer is A (Ulcerative Colitis). (Ref: Robbins Basic Pathology, 7th edition, page 120)
The table below shows some examples of major types of immune system dysfunction that result in human disease.

Type of Immune DysfunctionExamplesClinical ManifestationsAutoimmunityRheumatoid arthritisSystemic lupus erythematosusGrave’s diseaseGoodpasture syndromeMyasthenia gravisMultiple sclerosisPemphigus vulgarisCrohn’s diseaseDiabetes mellitus type IAllergiesHay feverAtopic dermatitisFood allergiesAnaphylaxisTransplant rejectionHyperacute graft-versushost reactionGraft versus host diseaseIm"
B,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: Klenow fragment lacks the activity of?
Options:
A) 3'-5' exonuclease
B) 5'-3' exonuclease
C) 5'-3' DNA polymerase
D) 3'-5' DNA polymerase
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 gutierrez-fernandez et al (2011) biochimicaet biophysica acta (bba)-gene regulatory mechanisms 1809(12):1458-1467. doi:10.1016/j.bbagrm.2010.11.005
Hence, the correct answer is A (3'-55' exonucleas). (Ref: Gutierrez-Fernandez etal BBA-Gene Regulatory Mechanisms (2012) 1810(12), 1458–1467)
Klenow Fragment Lacks 3’ to 5’ Exonuclease Activity
The Klenov fragment was prepared by proteolytic cleavage of E coli DNA Polymer I between its large and small subunits. The resulting enzyme retains both 5′ → 3′ polymerization and proofreading activities but has lost 3′ → 5 ′exonuclesae function.
Reference-Richard J. Harvey (2000),Lippincott Illustrated Reviews Biochemistry,Al edition page no - 372
Harpers illustrated biochemistry 30th ed chapter 35
DNA POLYMERASES AND PROOFREADING ENZYMES
Eukaryotic cells contain five"
C,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: Under National Health Mission which committee makes plan for village health?
Options:
A) Panchayat health committee (PHC)
B) Village health planning and management committee (VHPMC)
C) Village health sanitation and nutrition committee (VHSNC)
D) RogiKalyan Samiti
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 governance in rural areas is being strengthened by setting up of Village Health Sanitation & Nutrition Committee (VHSC). The VHCs have been formed at all levels i.e., PHC level, sub-centre level and village level. These committees will be responsible to ensure that there is proper implementation of RCH II activities in their respective localities. They would also monitor the functioning of Anganwadi workers and ASHA. At district level, District Level Task Force has been set up under Chairmanship of Collector/DM with representatives from State Government Departments concerned, NGOs etc. This task force reviews progress on various indicators every month and takes necessary action to improve them. A similar structure exists at state level called ""State Technical Group"" headed by Principal Secretary (Health).
Hence, the correct answer is C (Village health sanitation...). (Ref: Park's textbook of Preventive and Social Medicine, 21st edition, Page-8)
The Indian Journal of Public Administration Volume 55 Number 2 April-June 2009
National Rural Health Mission - An Overview
Dr S K Chaudhary
Director General Family Welfare Department Govt. Of Uttar Pradesh Lucknow
Abstract : In this paper an overview of NRHM has been presented"
A,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: The most mucostatic impression material is
Options:
A) Thin mix of plaster of paris
B) Zinc oxide eugenol impression paste
C) Free flowing wax
D) Reversible hydrocolloids
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g Reversible hydrocollidos have high viscosity which allows them to be used in mucostatics impressions.

Ref: Textbook of prosthodontics ed pankaj dhingra pg no 55
Hence, the correct answer is D (Reversible hydocolloids). (-Mucostatic means that it doesnot allow displacement of soft tissues during impression making)
The reversible hydrocolloid has been found suitable for this purpose because of its low flow characteristics and ability to record fine details on both hard and soft tissue surfaces without distoion.
Textbook of Prosthodontic Ed Pankaj Dhingra Pgno-56
Zinc phosphate cement was introduced by G.V.Black in 1909. It consists of zinc oxide powder mixed with phosphoric acid liquid. 
It can also be prepared using stannous chloride instead of phosphorus acid. This type of cement is known as stannophosphate cement. 
Stannous fluoride may replace phosphorous acid to produce a more durable product called fluorozinc phosphate. 
In addition, zinc oxide-eugenol cements were developed later; they consist of zinc oxides mixed with eugenols. These materials set through an exothermic reaction between the two components. 
"
