true_answer,model_response
B,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: A Iaday 35 years old lactating mother Presented with a Painful breast lump. Most appropriate initial investigation should be:
Options:
A) Mammography
B) USG
C) MRI
D) X-ray
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g Ultrasound is usually used to evaluate palpable lumps in women under age 40 who do not have symptoms of advanced disease (e.g., nipple discharge). It can also help differentiate cystic lesions from solid masses. Invasive lobular carcinoma may appear deceptively benign on ultrasound. If there is still uncertainty after an ultrasound evaluation, biopsy is indicated. Ref : Sabiston 20th edition Pgno : 845-846
Hence, the correct answer is B (USG). (Ref : Sabistons 20 th /e p 845 - 46).Mamogram is contraindicated during pregnancy & Lactation.
Hence it is necessary to rule out Breast cancer by doing USG.
The most common cause of painful breast mass in young woman is Fibroadenoma.
Fibroadenomas are typically well circumscribed, round or oval tumors that feel firm but mobile within the breast tissue. They often contain small areas of calcification which show up on mammograms.
They tend to grow rapidly over several months then stabilize and remain unchanged in size for many years before disappearing spontaneously.
Treatment consists of simple excision if they become symptomatic or cosmetically unacceptable.
If you suspect malignancy, core needle biopsy"
C,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: Countercurrent mechanism is not seen in:
Options:
A) Kidney
B) Testes
C) Eye
D) Intestine
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g D i.e., IntestinesCountercurrent heat exchange occurs between two adjacent vessels with different blood flow directionsQ (eg; renal aeriovenous anastomoses of kidney & testicular aerial- venous anatomoises). It helps to conserve water by reabsorption into the bloodstream at sites where it would otherwise be lost through evaporation eg; kidneys, inner ear, eye, brain, spinal cord, vagina, penis etc.Countercurrent Heat ExchangeIn this system, one vessel carries hot fluid past another that carries cold fluid but in opposite direction so that there is no net transfer of heat along their length. This type of arrangement conserves energy because less metabolic energy is required to maintain body temperature when countercurrent systems are used instead of parallel ones.Examples includeRenal circulation - The vasa recti run close together on either side of the medulla, they have very thin walls and contain relatively little muscle. They lie within the peritubular capillary plexus which surrounds the tubules. Blood flows towards the apex of the loop of Henle in the descending limb and then back down again in the ascending limb. Because of these opposing currents, heat generated by active transpo in the thick segment of the ascending loop of hen"
C,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: A bank employee felt depressed with no interest in activities came to AIIMS OPD. He was staed on Escitalopram. Which of these adverse effects cannot be explained with escitalopram?
Options:
A) Vivid dreaming
B) Anorgasmia
C) Sialorrhea
D) Nausea
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g Ref : KDT 6/e p111-112
Hence, the correct answer is C (Sialorrnea). (Ref Goodman & Gilman's Pharmacological Basis of Therapeutics 12th ed; Katzung 13th ed.)Explanation:The SSRIs can cause sexual dysfunction like anorgasmic disorder, decreased libido etc but they do not have anticholinergic propey so sialorrhoea will not occur with them.SSRIS* These drugs inhibit serotonin reuptake by blocking its specific transporter protein.* They act on both presynaptic and postsynaptic receptors.* The most common side effect is nausea which decreases after few weeks of therapy.Other important side effects include diarrhoea, insomnia, anxiety, restlessness, tremors, sweating, mydriasis, weight loss, increased risk of suicidal attempts especially at younger age (<25 years), hyponatremia due to SIADH, galactorrhea, gynaecomastia, male infertility, abnormal ejaculation/ orgasm, headache, dizziness, fatigue, xerostomia, blurred vision, palpitation, arrhythmias, seizures, mania, activation of psychosis, aggression, akathisia, dystonia, serotonin syndrome when used along"
A,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: Natural disaster causing maximum deaths
Options:
A) Hydrological
B) Meterological
C) Geological
D) Fires
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g) Meteorological disasters cause most of the natural calamities in India. The major meteorological hazards include cyclones, droughts, floods, cold waves, heat waves etc. Cyclone is one of the most destructive weather phenomena that can affect coastal areas. It causes flooding due to heavy rainfall and storm surges leading to loss of life and damage to crops, houses and infrastructure. Droughts occur when there is deficiency of water over a prolonged period of time resulting in crop failure and livestock death. Heat wave occurs when temperature rises above normal level for several days together. Cold wave refers to an abnormally low minimum temprature persisting at least two consecutive days. Ref : Park's Textbook of Preventive and Social Medicine; 24th edition - Page no. 741
Hence, the correct answer is B (Meterological). In India, meterological events account for more than half of all natural disasters. Amongst these, flood accounts for majority followed by landslides & cyclones. Earthquakes also have significant impact on human lives but they are less frequent compared to others. Fire related incidents are usually man-made rather than natural disasters.
Hence fire-related accidents do not fall under natural disasters category.
Floods are caused mainly by excess"
D,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: A young healthy male patient presented with abdominal pain and history of altered bowel habits from the last 6 months. On CT examination, there was dilated distal pa of ileum, thickened ileocecal junction with thickened cecum with presence of sacculations on the antimesenteric border. The vascularity of adjoining mesentery is also increased and there is surrounding mesentery fat. Which of the following is not a differential diagnosis?
Options:
A) Ulcerative colitis
B) Crohn's disease
C) Tuberculosis
D) Ischemic bowel disease
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 ganser syndrome (also known as pseudodementia, hysterical dementia, or folie à deux) is a condition in which patients present with symptoms that mimic those of organic brain disorders such as delirium, schizophrenia, depression, catatonia, dissociation, amnesia, aphasia, agnosia, apraxia, hallucinations, and convulsions. It can be caused by severe stress, trauma, abuse, neglect, emotional distress, anxiety, fear, grief, guilt, shame, anger, frustration, boredom, loneliness, low self-esteem, lack of control, powerlessness, helplessness, loss of identity, and/or social isolation. Ganser's syndrome has been described in prisoners who have attempted to feign insanity in order to gain leniency from their sentences; it may occur in people suffering extreme physical discomfort due to hunger, thirst, cold, heat, fatigue, sleep deprivation, etc.; and it may develop during interrogation under duress. In some cases, individuals will adopt the beliefs and behaviors of another person with mental illness, often an acquaintance or family member, resulting in what is called ""folie à plusieurs"" (""madness of several""). This phenomenon occurs when two or more persons share a common delusional system"
A,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: What is seen in syndrome X?
Options:
A) Prediabetics
B) Prehypertensive
C) X chromosome mutation
D) More chances of syncope during dental extractions
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 gans Syndrome (Syndrome X): It was first described by Epstein et al. in 1980. The term ""syndrome"" has been used to describe patients with angina pectoris without evidence of coronary artery disease on angiography. These patients have normal left ventricular function but show abnormal vasodilatory capacity of the coronary vessels. They also exhibit exaggerated vasoconstriction in response to adrenergic stimulation. This results in ischemia due to increased oxygen demand and decreased supply. Ref : Park's Textbook Of Preventive And Social Medicine By K.Park,20th Edition, Page-567
Hence, the correct answer is D (More chances of syncopal attacks). (Ref: Park's PSM - 20th ed pg 567)
Note: The most common cause of chest pain in young women who do not smoke cigarettes is microvascular spasm caused by endothelial dysfunction. This condition can be treated medically using calcium channel blockers such as nifedipine or diltiazem. If medical therapy fails, percutaneous transluminal coronary angioplasty may help relieve symptoms. In some cases, this procedure will result in complete relief of symptoms; however, it does not treat the underlying problem"
C,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: In females adrenal glands are the exclusive source for secretion of?
Options:
A) Estrogen
B) Testosterone
C) DHEAS
D) Progesterone
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 
Explanation: Ans is c i.e., DHEA-S Adrenal coisol (cortisol), aldosterone & sex hormones - dehydroepiandrosterone sulfate (DHEA-sulfate). The zona glomerulosa secretes mineralocoicoid hormone (aldosterone); the zona fasciculata produces glucocorticoids (coisol) and small amounts of sex steroids; and the zona reticularis synthesizes primarily DHEAs. Note : Ovaries also produce some amount of DHEa but it is much less than that produced by adrenals. So in female body most impoant source of DHA is adrenlas.
Hence, the correct answer is C (D HEAS). (\(Note\): This question has been repeated several times before).
The main function of Aldosterone is to regulate electrolyte balance between ECF and ICF mainly Na+ K+
Adrenal Coisol regulates carbohydrate metabolism, protein catabolism, lipid metabolism, immune system etc.
Deoxy-corticosteron (DOC) is secreted by Zona Glomerulasa which stimulates reabsorption of sodium ions in distal tubules.
Androgens like testosterone and dihydrotestosterone are synthesized by"
A,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: What is the dose of adrenaline in anaphylactic shock?
Options:
A) 0.5 ml in 1:1000
B) 0.5 ml in 1:10000
C) 1 ml in 1:1000
D) 1.5 ml in 1:1000
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g Option A - 500 microgram (0.50ml) of Adrenaline 1 :10,000 solution intramuscularly repeated every few minutes if necessary until medical help arrives. The recommended dosage of epinephrine for treatment of anaphy- laxis is 0.3 to 0,6 mg administered subcutaneously or intra-muscularly; this can be repeated every five to fifteen min- ues as needed. This equates to approximately 0.
Hence, the correct answer is B (0..5 ml). (Ref: Harrison's Principles of Internal Medicine 18th edition pg 2148)
Anaphylactoid reactions

These are similar to true allergic reactions but do not involve IgE antibodies.

Examples include:

Acute bronchospasm after exercise, cold water swimming, radiocontrast agents, drugs like NSAIDs etc.
Urticaria and angioedema with aspirin, NSAIDS, opioids, radio contrast dyes, shellfish, tarantula venom, wasp stings, vaccines, foods such as nuts, fish, eggs, milk, wheat, soy products, sesame seeds, beer, wine, chocolate, corn, kiwi fruit, celery, tomatoes, citrus"
A,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: Ratio of polymer to monomer in cold cure resin
Options:
A) 3:1 by volume and 2:1 by weight
B) 3:1 by weight and 2:1 by volume
C) 2:1 by volume and 2:1 by weight
D) 3:1 by volume and 3:1 by weight
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 givens are

Cold-cure resins have higher ratio than hot-cured ones.

Ratio is always more by volume than weight (as density of monomers > polymers).
Hence, the correct answer is A (3: 1 by Volume and 21 by Weight). (- Ref S.O.P 5th/e p-55)
Note - The same concept applies to all types of composite materials like amalgam etc.
Key Concept: 
The ratio between monomer & polymer in cold cured composites is greater compared with that of heat cured compositres.
Reference : PHILLIPS’ SCIENCE OF DENTAL MATERIALS, 12th ed page no 137
Hence the correctanswer is A(3: I by volumeand 2:Ibyweight). (Ref:SOP 5thed pgno:56). Also refer MS Baveja 4thedpg.no:310
Also note – In self curing composites, there is no need of catalysts because they contain both initiator and activator in separate bottles which are mixed just before use.
In addition, some manufacturers add an accelerator such as camphor sulfonic acid to their products. This accelerates the reaction rate at low temperatures but retards it at high"
C,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: According to WHO classification of periapical pathology, 4.81 means:
Options:
A) Periapical cyst
B) Lateral cyst
C) Residual cyst
D) Inflammatory periodontal cyst
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g WHO Classification of Cysts in Relation to Teeth

Code No. Description
2.1 Radicular (periapical) cysts
3.1 Developmental odontogenic cysts with epithelial lining
3-2 Epithelium-lined nonodontogenic developmental lesions
4.1 Benign tumors of bone
5.1 Malignant neoplasms of bone & soft tissue
6.1 Traumatic bone defects
7.1 Other conditions affecting bones
8.1 Periodontitis
9.1 Dental caries
10.1 Restorations
11.1 Prosthesis
12.1 Foreign body reactions
13.1 Normal variants
14.1 Unclassified lesions
Hence, the correct answer is A (Periapical cyst). (Ref: Textbook of Oral Pathology - Arathi Rao Ed 2nd pg 214)
Note: The World Health Organization has developed an international classification system that includes all types of oral diseases. This system was designed primarily for use by pathologists but can be used clinically when necessary. It uses numbers instead of descriptive terms; therefore, it is easy to understand and reproduce accurately. For example, code number 4 represents benign tumor of jawbone,"
